Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 799074              * 799890       
u_seq ESTAB 0      0                                                           * 22769               * 22770        
u_str ESTAB 0      0                                          /run/user/1000/bus 17347               * 16227        
u_str ESTAB 0      0                                                           * 17968               * 17967        
u_str ESTAB 680    0                                                           * 24674               * 17383        
u_str ESTAB 0      0                                                           * 26653               * 25669        
u_str ESTAB 0      0                                          /run/user/1000/bus 17345               * 17344        
u_str ESTAB 0      0                                                           * 5957                * 5958         
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 13267               * 12213        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 13180               * 11196        
u_str ESTAB 0      0                                                           * 797112              * 792568       
u_str ESTAB 0      0                                                           * 25643               * 6140         
u_str ESTAB 0      0                                                           * 22647               * 19767        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24588               * 15343        
u_str ESTAB 0      0                                                           * 11983               * 12921        
u_str ESTAB 0      0                                                           * 852252              * 847508       
u_str ESTAB 0      0                                          /run/user/1000/bus 838083              * 834474       
u_str ESTAB 0      0                                                           * 830840              * 831530       
u_str ESTAB 0      0                                                           * 29396               * 29395        
u_str ESTAB 0      3840                                       /run/user/1000/bus 17385               * 25693        
u_str ESTAB 0      0                                                           * 26639               * 17730        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 18728               * 18727        
u_str ESTAB 0      1536                              /run/dbus/system_bus_socket 15273               * 20513        
u_str ESTAB 0      0                                                           * 5947                * 10215        
u_str ESTAB 0      0                                                           * 25660               * 20680        
u_str ESTAB 0      768                                        /run/user/1000/bus 819142              * 830844       
u_str ESTAB 680    0                                                           * 45889               * 36769        
u_str ESTAB 0      0                                                           * 17365               * 24672        
u_str ESTAB 0      0                                          /run/user/1000/bus 16197               * 6109         
u_str ESTAB 0      0                                                           * 13262               * 18631        
u_str ESTAB 0      0                                                           * 18224               * 18225        
u_seq ESTAB 0      0                                                           * 18855               * 18854        
u_str ESTAB 0      0                                                           * 16278               * 18764        
u_str ESTAB 0      0                                          /run/user/1000/bus 20662               * 18731        
u_str ESTAB 0      0                                          /run/user/1000/bus 6076                * 20639        
u_str ESTAB 0      0                                                           * 15345               * 18692        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15566               * 12749        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 792568              * 797112       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24658               * 25640        
u_str ESTAB 0      0                                                           * 832590              * 832589       
u_seq ESTAB 0      0                                                           * 22996               * 22997        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 21681               * 18794        
u_str ESTAB 0      0                                                           * 24626               * 19764        
u_str ESTAB 0      0                                                           * 23563               * 16126        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5096                * 15266        
u_str ESTAB 0      0                                                           * 12965               * 15746        
u_str ESTAB 0      0                                         /run/cups/cups.sock 847842              * 849303       
u_str ESTAB 0      0                                                           * 830854              * 830853       
u_seq ESTAB 0      0                                                           * 59337               * 59338        
u_str ESTAB 0      0                                                           * 29395               * 29396        
u_str ESTAB 0      0                                                           * 6137                * 6138         
u_str ESTAB 0      0                                                           * 24649               * 24650        
u_str ESTAB 0      0                                          /run/user/1000/bus 24638               * 20666        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 21619               * 6092         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 18717               * 18716        
u_str ESTAB 0      1536                              /run/dbus/system_bus_socket 15271               * 17226        
u_str ESTAB 0      0                                                           * 24848               * 24847        
u_str ESTAB 0      0                                                           * 25635               * 24657        
u_dgr ESTAB 0      0                                                           * 12736               * 6668         
u_str ESTAB 0      3840                                       /run/user/1000/bus 17383               * 24674        
u_str ESTAB 0      0                                                           * 17361               * 18757        
u_str ESTAB 0      0                                                           * 20568               * 17621        
u_str ESTAB 0      0                                                           * 12042               * 10085        
u_str ESTAB 0      0                                                           * 852247              * 846388       
u_str ESTAB 0      0                                                           * 774084              * 781899       
u_str ESTAB 0      0                                                           * 783362              * 776484       
u_str ESTAB 0      0                                                           * 6109                * 16197        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19764               * 24626        
u_str ESTAB 0      0                                          /run/user/1000/bus 21523               * 18674        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 16126               * 23563        
u_str ESTAB 0      0                                                           * 24841               * 24840        
u_str ESTAB 0      0                                                           * 25618               * 24634        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 846388              * 852247       
u_str ESTAB 0      0                                                           * 832963              * 832962       
u_str ESTAB 0      0                                                           * 795531              * 801802       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 781601              * 773669       
